;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;SAME;SAME;DELETE;SAME;SAME;SAME;SAME;SAME;NEW;RENAME;DELETE;NEW;RENAME;NEW;SAME;NEW;RENAME;NEW;Rename;DELETE;DELETE;DELETE;DELETE;DELETE;DELETE;DELETE;DELETE;DELETE;DELETE;DELETE;DELETE;DELETE;DELETE;DELETE;DELETE;DELETE
;QS0011225032;06-05-25;;QS0011225032;PT;PTTLP;PSI Telecommunications;XLIS;;26609995.11;105.78;;106.83;;106.8311602;;2842776650;;4;EUR;1;;QS0011016621;;;;;ECB;EU Price;Indices;;;;;0;
;QS0011225024;06-05-25;;QS0011225024;PT;PTCSP;PSI Consumer Staples;XLIS;;6783548.737;2308.52;;2308.43;;2308.431815;;15659359722;;2;EUR;1;;QS0011016597;;;;;ECB;EU Price;Indices;;;;;0;
;QS0011225016;06-05-25;;QS0011225016;PT;PTCGP;PSI Consumer Discretionary;XLIS;;202477.8147;5543.15;;5698.21;;5698.207923;;1153760688;;9;EUR;1;;QS0011016571;;;;;ECB;EU Price;Indices;;;;;0;
;QS0011225008;06-05-25;;QS0011225008;PT;PTINP;PSI Industrials;XLIS;;6552562.913;531.16;;531.16;;531.1596708;;3480457159;;5;EUR;1;;QS0011016522;;;;;ECB;EU Price;Indices;;;;;0;
;QS0011224993;06-05-25;;QS0011224993;PT;PTBMP;PSI Basic Materials;XLIS;;2039158.249;2583.08;;2585.3;;2585.295578;;5271826804;;4;EUR;1;;QS0011016514;;;;;ECB;EU Price;Indices;;;;;0;
;QS0011224977;06-05-25;;QS0011224977;NL;AAXG;AEX All-Share Index GR;XAMS;;;4734.88;;4728.47;;4728.465268;;;;;;;NL0000249100;;;0;;;ECB;TR1;Indices;;;;;0;
;QS0011224944;06-05-25;;QS0011224944;NL;NLTLG;AEX Telecommunications GR;XAMS;;;4022.76;;4063.65;;4063.652651;;;;;;;QS0011016589;;;0;;;ECB;TR1;Indices;;;;;0;
;QS0011224936;06-05-25;;QS0011224936;NL;NLTCG;AEX Technology GR;XAMS;;;12185.87;;12161.93;;12161.93421;;;;;;;QS0011016613;;;0;;;ECB;TR1;Indices;;;;;0;
;QS0011224910;06-05-25;;QS0011224910;BE;BEBMP;BEL Basic Materials;XBRU;;24500512.25;1015.12;;1016.56;;1016.561065;;24906266832;;13;EUR;1;;;QS0011016696;;;;ECB;EU Price;Indices;;;;;0;
;QS0011224829;06-05-25;;QS0011224829;NL;NLOGG;AEX Energy GR;XAMS;;;2775.95;;2722.03;;2722.028875;;;;;;;QS0011016472;;;0;;;ECB;TR1;Indices;;;;;0;
;QS0011224662;06-05-25;;QS0011224662;NL;NLING;AEX Industrials GR;XAMS;;;4102.64;;4107.16;;4107.161027;;;;;;;QS0011016506;;;0;;;ECB;TR1;Indices;;;;;0;
;QS0011224589;06-05-25;;QS0011224589;NL;NLHCG;AEX Health Care GR;XAMS;;;1807.25;;1789.82;;1789.822804;;;;;;;QS0011016555;;;0;;;ECB;TR1;Indices;;;;;0;
;QS0011224571;06-05-25;;QS0011224571;FR;FRINN;CAC Industrials NR;XPAR;;;4976.87;;4985.23;;4985.225674;;;;;;;QS0011017652;;;;0;;ECB;TR1;Indices;;;;;0;
;QS0011224522;06-05-25;;QS0011224522;NL;NLFNG;AEX Financials GR;XAMS;;;1704.18;;1709.17;;1709.16998;;;;;;;QS0011016605;;;0;;;ECB;TR1;Indices;;;;;0;
;QS0011224498;06-05-25;;QS0011224498;FR;FRHCN;CAC Health Care NR;XPAR;;;3418.37;;3392.62;;3392.624215;;;;;;;QS0011017702;;;;0;;ECB;TR1;Indices;;;;;0;
;QS0011224373;06-05-25;;QS0011224373;FR;FRFNN;CAC Financials NR;XPAR;;;2353.16;;2367.16;;2367.160827;;;;;;;QS0011017801;;;;0;;ECB;TR1;Indices;;;;;0;
;QS0011224308;06-05-25;;QS0011224308;PT;BVL;PSI All-Share Index;XLIS;;46462978.08;1526.35;;1535.26;;1535.261963;;71332842963;;32;EUR;1;;PTING1000005;;;;;ECB;EU Price;Indices;;;;;0;
;QS0011224290;06-05-25;;QS0011224290;FR;FRCSN;CAC Consumer Staples NR;XPAR;;;1469.39;;1464.73;;1464.725595;;;;;;;QS0011017736;;;;0;;ECB;TR1;Indices;;;;;0;
;QS0011224274;06-05-25;;QS0011224274;FR;N150G;Next 150 Index GR;XPAR;;;6932.82;;6956.38;;6956.379214;;;;;;;FR0003502087;;;0;;;ECB;TR1;Indices;;;;;0;
;QS0011224258;06-05-25;;QS0011224258;FR;N100G;Euronext 100 Index GR;XPAR;;;3336.91;;3335.29;;3335.287858;;;;;;;FR0003502079;;;1.170321916;;BE0003565737 BE0974293251;ECB;TR1;Indices;;;;;0;
;QS0011224233;06-05-25;;QS0011224233;FR;CN20G;CAC Next 20 GR;XPAR;;;22737.54;;22872.31;;22872.30731;;;;;;;QS0010989109;;;0;;;ECB;TR1;Indices;;;;;0;
;QS0011224217;06-05-25;;QS0011224217;FR;PAXNR;CAC All-Share Index NR;XPAR;;;15454.31;;15456.17;;15456.17368;;;;;;;QS0010989141;;;;0;;ECB;TR1;Indices;;;;;0;
;QS0011224092;06-05-25;;QS0011224092;FR;CN20N;CAC Next 20 NR;XPAR;;;19619.84;;19736.13;;19736.13454;;;;;;;QS0010989109;;;;0;;ECB;TR1;Indices;;;;;0;
;QS0011224084;06-05-25;;QS0011224084;FR;FRUTN;CAC Utilities NR;XPAR;;;1640.84;;1642.12;;1642.118226;;;;;;;QS0011017785;;;;0;;ECB;TR1;Indices;;;;;0;
;QS0011223995;06-05-25;;QS0011223995;FR;FRCGN;CAC Consumer Discretionary NR;XPAR;;;6252.38;;6263.01;;6263.008518;;;;;;;QS0011017686;;;;0;;ECB;TR1;Indices;;;;;0;
;QS0011223979;06-05-25;;QS0011223979;FR;FRBMN;CAC Basic Materials NR;XPAR;;;4319.48;;4292.77;;4292.76772;;;;;;;QS0011017637;;;;0;;ECB;TR1;Indices;;;;;0;
;QS0011223920;06-05-25;;QS0011223920;FR;FRTEN;CAC Telecommunications NR;XPAR;;;2081.85;;2109.31;;2109.30837;;;;;;;QS0011017769;;;;0;;ECB;TR1;Indices;;;;;0;
;QS0011223896;06-05-25;;QS0011223896;FR;FRTCN;CAC Technology NR;XPAR;;;1740.39;;1731.98;;1731.980262;;;;;;;QS0011017827;;;;0;;ECB;TR1;Indices;;;;;0;
;QS0011223698;06-05-25;;QS0011223698;FR;FROGN;CAC Energy NR;XPAR;;;2014;;1995.07;;1995.0677;;;;;;;QS0011017603;;;;0;;ECB;TR1;Indices;;;;;0;
;QS0011213756;06-05-25;;QS0011213756;FR;CMSG;CAC Mid & Small GR;XPAR;;;27249.11;;27255;;27254.99822;;;;;;;QS0010989133;;;0;;;ECB;TR1;Indices;;;;;0;
;QS0011213731;06-05-25;;QS0011213731;FR;CMSN;CAC Mid & Small NR;XPAR;;;22957.87;;22958.44;;22958.44011;;;;;;;QS0010989133;;;;0;;ECB;TR1;Indices;;;;;0;
;QS0011213723;06-05-25;;QS0011213723;FR;CACSR;CAC Small GR;XPAR;;;20968.31;;21072.27;;21072.27321;;;;;;;QS0010989125;;;0;;;ECB;TR1;Indices;;;;;0;
;QS0011213707;06-05-25;;QS0011213707;FR;CACSN;CAC Small NR;XPAR;;;18281.52;;18372.17;;18372.16627;;;;;;;QS0010989125;;;;0;;ECB;TR1;Indices;;;;;0;
;QS0011213699;06-05-25;;QS0011213699;FR;CAR;CAC Large 60 GR;XPAR;;;15548.44;;15541.57;;15541.57149;;;;;;;QS0011213657;;;0;;;ECB;TR1;Indices;;;;;0;
;QS0011213681;06-05-25;;QS0011213681;FR;CACLN;CAC Large 60 NR;XPAR;;;13661.62;;13640.61;;13640.61203;;;;;;;QS0011213657;;;;0;;ECB;TR1;Indices;;;;;0;
;QS0011213657;06-05-25;;QS0011213657;FR;CACLG;CAC Large 60;XPAR;;221876007.9;8393.6;;8353.09;;8353.091651;;1.85335E+12;;60;EUR;1;;QS0011213699;QS0011213681;;;;ECB;EU Price;Indices;;;;;0;
;QS0011211248;06-05-25;;QS0011211248;BE;BELSG;BEL Small GR;XBRU;;;15139.52;;15200.8;;15200.79614;;;;;;;BE0389857146;;;0;;;ECB;TR1;Indices;;;;;0;
;QS0011211230;06-05-25;;QS0011211230;BE;BELMG;BEL Mid GR;XBRU;;;11785.48;;11881.65;;11881.64947;;;;;;;BE0389856130;;;0;;;ECB;TR1;Indices;;;;;0;
;QS0011211222;06-05-25;;QS0011211222;NL;AEXEG;AEX Equal Weight GR;XAMS;;;5999.94;;6017;;6017.002508;;;;;;;QS0011159744;;;0;;;ECB;TR1;Indices;;;;;0;
;QS0011211214;06-05-25;;QS0011211214;FR;CACEG;CAC 40 Equal Weight GR;XPAR;;;4505.67;;4507.22;;4507.218775;;;;;;;QS0011159777;;;0;;;ECB;TR1;Indices;;;;;0;
;QS0011211206;06-05-25;;QS0011211206;NL;AEXEN;AEX Equal Weight NR;XAMS;;;5522.91;;5538.62;;5538.615856;;;;;;;QS0011159744;;;;0;;ECB;TR1;Indices;;;;;0;
;QS0011211198;06-05-25;;QS0011211198;FR;CACEN;CAC 40 Equal Weight NR;XPAR;;;3968.53;;3965.24;;3965.242637;;;;;;;QS0011159777;;;;0;;ECB;TR1;Indices;;;;;0;
;QS0011211180;06-05-25;;QS0011211180;PT;PSINR;PSI NR;XLIS;;;16511.49;;16592.34;;16592.34351;;;;;;;PTING0200002;;;;0;;ECB;TR1;Indices;;;;;0;
;QS0011211172;06-05-25;;QS0011211172;NL;ASCXN;AScX NR;XAMS;;;2476.36;;2493.09;;2493.090518;;;;;;;NL0000249142;;;;0;;ECB;TR1;Indices;;;;;0;
;QS0011211164;06-05-25;;QS0011211164;NL;AMXNR;AMX NR;XAMS;;;2583.92;;2594.18;;2594.177863;;;;;;;NL0000249274;;;;0;;ECB;TR1;Indices;;;;;0;
;QS0011211156;06-05-25;;QS0011211156;NL;AEXNR;AEX NR;XAMS;;;3055.19;;3051.13;;3051.126187;;;;;;;NL0000000107;;;;0;;ECB;TR1;Indices;;;;;0;
;QS0011204995;06-05-25;;QS0011204995;NL;ASCXG;AScX GR;XAMS;;;2726.88;;2745.3;;2745.299629;;;;;;;NL0000249142;;;0;;;ECB;TR1;Indices;;;;;0;
;QS0011204763;06-05-25;;QS0011204763;NL;AMXGR;AMX GR;XAMS;;;3016.44;;3028.41;;3028.411115;;;;;;;NL0000249274;;;0;;;ECB;TR1;Indices;;;;;0;
;QS0011194238;06-05-25;;QS0011194238;FR;NAOIG;EN Growth Bpifrance Innovation Index;XPAR;;;942.01;;945.74;;945.7368176;;;;;;;QS0011194212;;;0;;;ECB;TR1;Indices;;;;;0;
;QS0011194220;06-05-25;;QS0011194220;FR;NAOIN;EN Growth Bpifrance Innovation Index;XPAR;;;918.19;;921.82;;921.8244443;;;;;;;QS0011194212;;;;0;;ECB;TR1;Indices;;;;;0;
;QS0011194212;06-05-25;;QS0011194212;FR;NAOII;EN Growth Bpifrance Innovation Index;XPAR;;2387524.046;858.43;;861.82;;861.8249133;;2057627704;;45;EUR;1;;QS0011194238;QS0011194220;;;;ECB;EU Price;Indices;;;;;0;
;QS0011176854;06-05-25;;QS0011176854;FR;REITG;Euronext IEIF REIT Europe Index GR;XPAR;;;3316.81;;3337.66;;3337.655818;;;;;;;QS0011070230;;;0;;;ECB;TR1;Indices;;;;;0;
;QS0011176847;06-05-25;;QS0011176847;FR;REITN;Euronext IEIF REIT Europe Index NR;XPAR;;;2844.56;;2862.43;;2862.42875;;;;;;;QS0011070230;;;;0;;ECB;TR1;Indices;;;;;0;
;QS0011159777;06-05-25;;QS0011159777;FR;CACEW;CAC 40 Equal Weight;XPAR;;822150.0544;2724.11;;2712.28;;2712.275132;;2229897148;;40;EUR;1;;QS0011211214;QS0011211198;;;;ECB;EU Price;Indices;;;;;0;
;QS0011159744;06-05-25;;QS0011159744;NL;AEXEW;AEX Equal Weight;XAMS;;652035.1153;3668.82;;3679.25;;3679.25418;;2399002923;;25;EUR;1;;QS0011211222;QS0011211206;;;;ECB;EU Price;Indices;;;;;0;
;QS0011158126;06-05-25;;QS0011158126;NL;AEXDI;AEX Dividend Index;XAMS;;;7.822;;7.822;;7.82245391;;;;;;;NL0000000107;;;0;;;ECB;TR6 Dividend Point Index;Indices;;;;;0;
;QS0011158118;06-05-25;;QS0011158118;FR;CACDI;CAC 40 Dividend Index;XPAR;;;58.17;;94.3;;94.30051717;;;;;;;FR0003500008;;;0;;;ECB;TR6 Dividend Point Index;Indices;;;;;0;
;QS0011131990;06-05-25;;QS0011131990;NL;AEXGR;AEX GR;XAMS;;;3551.85;;3547.12;;3547.122026;;;;;;;NL0000000107;;;0;;;ECB;TR1;Indices;;;;;0;
;QS0011131917;06-05-25;;QS0011131917;FR;CACMR;CAC Mid 60 GR;XPAR;;;28417.9;;28407.08;;28407.08189;;;;;;;QS0010989117;;;0;;;ECB;TR1;Indices;;;;;0;
;QS0011131909;06-05-25;;QS0011131909;FR;CACMN;CAC Mid 60 NR;XPAR;;;23793.86;;23779.68;;23779.68276;;;;;;;QS0010989117;;;;0;;ECB;TR1;Indices;;;;;0;
;QS0011131891;06-05-25;;QS0011131891;FR;CACTR;CAC All-Tradable GR;XPAR;;;16189.87;;16183.23;;16183.23425;;;;;;;FR0003999499;;;0;;;ECB;TR1;Indices;;;;;0;
;QS0011131883;06-05-25;;QS0011131883;FR;CACTN;CAC All-Tradable NR;XPAR;;;12513.74;;12495.43;;12495.43136;;;;;;;FR0003999499;;;;0;;ECB;TR1;Indices;;;;;0;
;QS0011131859;06-05-25;;QS0011131859;FR;PX4GR;SBF 120 GR;XPAR;;;16521.46;;16514.21;;16514.21331;;;;;;;FR0003999481;;;0;;;ECB;TR1;Indices;;;;;0;
;QS0011131842;06-05-25;;QS0011131842;FR;PX4NR;SBF 120 NR;XPAR;;;12758.25;;12739.15;;12739.14676;;;;;;;FR0003999481;;;;0;;ECB;TR1;Indices;;;;;0;
;QS0011131834;06-05-25;;QS0011131834;FR;PX1GR;CAC 40 GR;XPAR;;;24438.6;;24418.42;;24418.41825;;;;;;;FR0003500008;;;0;;;ECB;TR1;Indices;;;;;0;
;QS0011131826;06-05-25;;QS0011131826;FR;PX1NR;CAC 40 NR;XPAR;;;18174.31;;18138.18;;18138.17717;;;;;;;FR0003500008;;;;0;;ECB;TR1;Indices;;;;;0;
;QS0011131750;06-05-25;;QS0011131750;NL;LC1GR;Euronext Low Carbon 100 Europe PAB GR;XAMS;;;295.73;;296.53;;296.5319143;;;;;;;QS0011131735;;;0.020196478;;BE0003565737;ECB;TR1;Indices;;;;;0;
;QS0011131743;06-05-25;;QS0011131743;NL;LC1NR;Euronext Low Carbon 100 Europe PAB NR;XAMS;;;264.06;;264.64;;264.638609;;;;;;;QS0011131735;;;;0.014137535;BE0003565737;ECB;TR1;Indices;;;;;0;
;QS0011131735;06-05-25;;QS0011131735;NL;LC100;Euronext Low Carbon 100 Europe PAB ;XAMS;;16993610640;162.84;;162.93;;162.9330373;;2.76882E+12;;100;EUR;1;;QS0011131750;QS0011131743;;;;ECB;EU Price;Indices;;;;;0;
;QS0011095955;06-05-25;;QS0011095955;FR;BIOTK;Next Biotech;XPAR;;14242788.03;2914.04;;2927.29;;2927.288297;;41692746710;;63;EUR;1;;;;;;;ECB;EU Price;Indices;;;;;0;
;QS0011070230;06-05-25;;QS0011070230;FR;REITE;Euronext IEIF REIT Europe Index;XPAR;;85145870.94;1157;;1164.27;;1164.274979;;99133207070;;40;EUR;1;;QS0011176854;QS0011176847;;;;ECB;EU Price;Indices;;;;;0;
;QS0011040902;06-05-25;;QS0011040902;FR;ALASI;Euronext Growth All-Share Index;XPAR;;35034397.24;844.26;;845.99;;845.9886022;;29638700744;;555;EUR;1;;QS0011227186;QS0011227178;;;;ECB;EU Price;Indices;;;;;0;
;QS0011019005;06-05-25;;QS0011019005;BE;BEUT;BEL Utilities NR;XBRU;;;2055.44;;2065.86;;2065.862652;;;;;;;QS0011225164;;;;0;;ECB;TR1;Indices;;;;;0;
;QS0011017827;06-05-25;;QS0011017827;FR;FRTEC;CAC Technology;XPAR;;77868161.89;1403.67;;1396.88;;1396.878651;;1.08772E+11;;33;EUR;1;;;QS0011223896;;;;ECB;EU Price;Indices;;;;;0;
;QS0011017801;06-05-25;;QS0011017801;FR;FRFIN;CAC Financials;XPAR;;275099294.4;1243.3;;1237.71;;1237.709067;;3.40493E+11;;41;EUR;1;;;QS0011224373;;;;ECB;EU Price;Indices;;;;;0;
;QS0011017785;06-05-25;;QS0011017785;FR;FRUT;CAC Utilities;XPAR;;90010554.37;804.13;;804.76;;804.7605271;;72436941186;;12;EUR;1;;;QS0011224084;;;;ECB;EU Price;Indices;;;;;0;
;QS0011017769;06-05-25;;QS0011017769;FR;FRTEL;CAC Telecommunications;XPAR;;46719390.84;806.38;;817.01;;817.0120029;;38170303080;;6;EUR;1;;;QS0011223920;;;;ECB;EU Price;Indices;;;;;0;
;QS0011017736;06-05-25;;QS0011017736;FR;FRCS;CAC Consumer Staples;XPAR;;109627761.9;906.86;;893.98;;893.9794206;;98004963078;;19;EUR;1;;;QS0011224290;;;;ECB;EU Price;Indices;;;;;0;
;QS0011017702;06-05-25;;QS0011017702;FR;FRHC;CAC Health Care;XPAR;;136589184.6;2232.04;;2215.22;;2215.224398;;3.02576E+11;;41;EUR;1;;;QS0011224498;;;;ECB;EU Price;Indices;;;;;0;
;QS0011017686;06-05-25;;QS0011017686;FR;FRCG;CAC Consumer Discretionary;XPAR;;216719757.6;4635.14;;4623.26;;4623.258626;;1.00195E+12;;80;EUR;1;;;QS0011223995;;;;ECB;EU Price;Indices;;;;;0;
;QS0011017652;06-05-25;;QS0011017652;FR;FRIN;CAC Industrials;XPAR;;208781527.2;3444.12;;3447.18;;3447.177393;;7.19707E+11;;59;EUR;1;;;QS0011224571;;;;ECB;EU Price;Indices;;;;;0;
